Line	Spkr	StTime	Content	EnTime
60	LES_se0_ag2_f_01	65.9657	looking to.	66.9707
61	LES_se0_ag2_f_01	66.9707	(pause 1.35)	68.3192
62	LES_se0_ag2_f_01	68.3192	Well- I what I understood it was that both my grandmothers were single mothers and they	71.7059
63	LES_int_01	71.8463	Yeah.	72.1941
64	LES_se0_ag2_f_01	72.3594	trying to	73.0611
65	LES_se0_ag2_f_01	73.0611	(pause 0.17)	73.2320
66	LES_se0_ag2_f_01	73.2320	find more opportunities	74.5317
67	LES_se0_ag2_f_01	74.5317	(pause 0.67)	75.1993
68	LES_se0_ag2_f_01	75.1993	and uh,	75.9377
69	LES_se0_ag2_f_01	75.9377	(pause 1.98)	77.9209
70	LES_se0_ag2_f_01	77.9209	there was housing opportunities over here.	79.7284
71	LES_int_01	79.9298	Yeah.	80.2715
72	LES_se0_ag2_f_01	80.8390	And so a lot of people.	82.2104
73	LES_se0_ag2_f_01	82.2104	(pause 0.20)	82.4072
74	LES_se0_ag2_f_01	82.4072	That's- I think- I can see like the history of it was like	84.7346
75	LES_se0_ag2_f_01	84.7346	(pause 1.84)	86.5775
76	LES_se0_ag2_f_01	86.5775	the more Jewish, the Jewish	87.9505
77	LES_se0_ag2_f_01	87.9505	(pause 0.56)	88.5058
78	LES_se0_ag2_f_01	88.5058	population was actually flocking to Queens and to the [suburbs.]	91.6131
79	LES_int_01	91.1798	[Right,] they were leaving.	92.2355
80	LES_se0_ag2_f_01	92.3209	And then	92.8274
81	LES_se0_ag2_f_01	92.8274	(pause 0.43)	93.2546
82	LES_se0_ag2_f_01	93.2546	the Hispanic and la- and	95.0334
83	LES_se0_ag2_f_01	95.0334	(pause 0.56)	95.5948
84	LES_se0_ag2_f_01	95.5948	and Black	96.4003
85	LES_se0_ag2_f_01	96.4003	(pause 0.62)	97.0166
86	LES_se0_ag2_f_01	97.0166	um	97.4620
87	LES_se0_ag2_f_01	97.4620	(pause 0.90)	98.3590
88	LES_se0_ag2_f_01	98.3590	population started moving	99.6440
89	LES_se0_ag2_f_01	99.6440	(pause 0.53)	100.1749
90	LES_se0_ag2_f_01	100.1749	ma- like further down and spreading out [more.]	102.0876
91	LES_int_01	101.8835	[Yeah.]	102.2550
92	LES_se0_ag2_f_01	102.2496	Because there was a- for housing opportunities and.	104.2178
93	LES_int_01	104.2178	Right.	104.6511
94	LES_se0_ag2_f_01	105.1259	<ts> So I- both of my grandmothers	106.5111
95	LES_se0_ag2_f_01	106.5111	(pause 0.10)	106.6087
96	LES_se0_ag2_f_01	106.6087	simultaneously came	107.6400
97	LES_se0_ag2_f_01	107.6400	(pause 0.48)	108.1221
98	LES_se0_ag2_f_01	108.1221	to n- the Lower East Side.	110.0442
99	LES_int_01	110.2212	Uh-huh.	110.5710
100	LES_se0_ag2_f_01	110.7979	Uh.	111.3715
101	LES_se0_ag2_f_01	111.3715	(pause 1.81)	113.1777
102	LES_se0_ag2_f_01	113.1777	And	113.4767
103	LES_se0_ag2_f_01	113.4767	(pause 0.11)	113.5866
104	LES_se0_ag2_f_01	113.5866	came	113.9954
105	LES_se0_ag2_f_01	113.9954	(pause 0.38)	114.3737
106	LES_se0_ag2_f_01	114.3737	to Loui-	114.8009
107	LES_se0_ag2_f_01	114.8009	(pause 0.12)	114.9168
108	LES_se0_ag2_f_01	114.9168	to Lower East Side from	116.0719
109	LES_se0_ag2_f_01	116.0719	(pause 0.13)	116.2062
110	LES_se0_ag2_f_01	116.2062	from the same neighborhoods in Harlem.	117.5303
111	LES_se0_ag2_f_01	117.5303	(pause 0.92)	118.4484
112	LES_se0_ag2_f_01	118.4484	[And so.]	118.9427
113	LES_int_01	118.5948	[Did they] know each other?	119.6063
114	LES_se0_ag2_f_01	119.7542	No.	120.1082
115	LES_se0_ag2_f_01	120.1082	(pause 0.26)	120.3645
116	LES_se0_ag2_f_01	120.3645	And then it was funny because- or they knew of each other.	122.5170
117	LES_int_01	122.5170	Okay.	122.9198
118	LES_se0_ag2_f_01	122.9686	And it's funny, then their children later on	124.6406
119	LES_se0_ag2_f_01	124.6406	(pause 0.14)	124.7809
120	LES_se0_ag2_f_01	124.7809	get together and have me.	125.7390
121	LES_se0_ag2_f_01	125.7390	(pause 0.18)	125.9159
122	LES_se0_ag2_f_01	125.9159	Right.	126.1966
123	LES_se0_ag2_f_01	126.1966	(pause 0.11)	126.3065
124	LES_se0_ag2_f_01	126.3065	But	126.4651
125	LES_int_01	126.4651	Right.	126.9838
126	LES_se0_ag2_f_01	127.2279	they, um,	127.8785
127	LES_int_01	128.3605	that's hilarious	129.0989
128	LES_se0_ag2_f_01	129.2820	So they knew each other for years, and them my mother and my father met	131.8082
129	LES_se0_ag2_f_01	131.8082	(pause 0.62)	132.4307
130	LES_se0_ag2_f_01	132.4307	just	132.8273
131	LES_se0_ag2_f_01	132.8273	(pause 0.34)	133.1629
132	LES_se0_ag2_f_01	133.1629	happenstance like lately	134.3911
133	LES_se0_ag2_f_01	134.3911	(pause 0.10)	134.4887
134	LES_se0_ag2_f_01	134.4887	you know, years later on.	135.6542
135	LES_int_01	135.8068	Yeah.	136.1973
136	LES_se0_ag2_f_01	136.6001	[Um.]	136.9540
137	LES_int_01	136.6550	[Did they] meet on the Lower East [Side?]	138.0278
138	LES_se0_ag2_f_01	137.8997	[Yeah.]	138.1316
139	LES_se0_ag2_f_01	138.3574	They met on the Lower East Side.	139.5595
140	LES_int_01	139.6205	Wow.	140.0565
141	LES_se0_ag2_f_01	140.0565	And actually,	140.8193
142	LES_se0_ag2_f_01	141.5271	you can	141.9125
143	LES_se0_ag2_f_01	141.9125	(pause 0.21)	142.1261
144	LES_se0_ag2_f_01	142.1261	uh,	142.5289
145	LES_se0_ag2_f_01	142.5289	(pause 0.32)	142.8462
146	LES_se0_ag2_f_01	142.8462	on J- in Jackson Park,	144.1032
147	LES_int_01	144.3229	Yeah.	144.6585
148	LES_se0_ag2_f_01	144.7806	there's a tree	145.5738
149	LES_se0_ag2_f_01	145.5738	(pause 0.14)	145.7142
150	LES_se0_ag2_f_01	145.7142	with their- their initials in it	147.0501
151	LES_se0_ag2_f_01	147.0501	(pause 0.38)	147.4345
152	LES_se0_ag2_f_01	147.4345	from when they were little kids.	148.5623
153	LES_int_01	148.7759	Oh no. [That's so cute.]	151.7049
154	LES_se0_ag2_f_01	149.7339	[Yeah, they were high school sweethearts.]	151.3693
155	LES_se0_ag2_f_01	152.2480	They were high school sweet hearts.	153.0474
156	LES_se0_ag2_f_01	153.0474	(pause 0.25)	153.2976
157	LES_se0_ag2_f_01	153.2976	And they not together now.	154.3601
158	LES_int_01	154.3601	<laugh>	155.0374
159	LES_se0_ag2_f_01	155.0984	[But the tree,]	156.0321
160	LES_int_01	155.3306	[But it was cute] at the [time.]	156.8619
161	LES_se0_ag2_f_01	156.4897	[And] the- the initials are still in there.	158.3571
162	LES_int_01	158.5035	Oh. [That's amazing.]	160.1084
163	LES_se0_ag2_f_01	159.0945	[It's crazy.]	159.8277
164	LES_se0_ag2_f_01	159.8277	(pause 0.27)	160.1023
165	LES_se0_ag2_f_01	160.1023	Yeah.	160.4562
166	LES_int_01	160.6942	That's really funny.	161.5546
167	LES_se0_ag2_f_01	161.5546	You can still go back there and look at that.	163.0923
168	LES_int_01	163.3669	[Yeah.]	163.7269
169	LES_se0_ag2_f_01	163.5744	[The tree.]	163.9894
170	LES_int_01	164.1237	So, what's your like ancestry? Are your um, do you have like Caribbean roots? Or ju- African [American?]	169.4839
171	LES_se0_ag2_f_01	169.2886	[Just, I Af- I- I hate to s- use [those boxes and squares.]	172.5179
172	LES_int_01	171.7185	[Yeah.]	172.0145
173	LES_int_01	172.0145	(pause 0.11)	172.1212
174	LES_int_01	172.1212	[I know, I know, I know.]	173.1891
175	LES_se0_ag2_f_01	172.6460	[If we have to.]	173.4759
176	LES_int_01	173.4759	I know.	173.9152
177	LES_se0_ag2_f_01	174.1105	[Um.]	174.6542
178	LES_int_01	174.3491	[I'm just-] I'm just [curious] because um,	176.3079
179	LES_se0_ag2_f_01	175.3494	[Yeah.]	175.6488
180	LES_int_01	176.4604	I did another project in the Bronx	178.4432
181	LES_int_01	178.4432	(pause 0.31)	178.7487
182	LES_int_01	178.7487	and it was really interesting because everybody was really mixed. And you know, there was like	182.0744
183	LES_int_01	182.0744	(pause 0.27)	182.3428
184	LES_int_01	182.3428	one grandmother was from, you know,	184.5024
185	LES_int_01	184.5024	(pause 1.10)	185.6069
186	LES_int_01	185.6069	Jamaica, then the other grandmother was from you know, Atlanta, and [so everybody] had these really interesting histories, so	192.3459
187	LES_se0_ag2_f_01	189.4532	[Oh.]	190.0390
188	LES_se0_ag2_f_01	192.5289	[<laugh>]	193.2368
189	LES_int_01	192.5289	[just curious.]	193.4015
190	LES_se0_ag2_f_01	193.7738	Nope. Um.	194.7911
191	LES_se0_ag2_f_01	194.7911	(pause 0.93)	195.7248
192	LES_se0_ag2_f_01	195.7248	Both of my parents, both of my parents were	197.9370
193	LES_se0_ag2_f_01	197.9370	(pause 1.21)	199.1513
194	LES_se0_ag2_f_01	199.1513	they're just	199.6639
195	LES_se0_ag2_f_01	199.6639	(pause 0.18)	199.8470
196	LES_se0_ag2_f_01	199.8470	we are- I hate to say that we're African American. [It's] so s-	202.3237
197	LES_int_01	201.6037	[Right.]	201.8844
198	LES_int_01	201.8844	(pause 0.33)	202.2139
199	LES_int_01	202.2139	[Do you] not like that word?	203.1353
200	LES_se0_ag2_f_01	203.3550	I mean, you think about it. It's like um,	205.3285
201	LES_se0_ag2_f_01	205.3285	(pause 0.33)	205.6549
202	LES_se0_ag2_f_01	205.6549	It's	205.8578
203	LES_se0_ag2_f_01	205.8578	(pause 0.08)	205.9394
204	LES_se0_ag2_f_01	205.9394	a- fundamentally st-	207.0643
205	LES_se0_ag2_f_01	207.0643	(pause 0.22)	207.2834
206	LES_se0_ag2_f_01	207.2834	um, stupid and	208.2207
207	LES_se0_ag2_f_01	208.2207	(pause 0.61)	208.8304
208	LES_se0_ag2_f_01	208.8304	It's hi- it's covering a truth. A- a history.	211.3064
209	LES_int_01	211.4136	Yeah.	211.7587
210	LES_se0_ag2_f_01	211.7493	It's not acknowledging it at all.	213.1902
211	LES_int_01	213.3720	[Yeah.]	213.6938
212	LES_se0_ag2_f_01	213.4933	[It's just] perpetuating a social s-	214.9845
213	LES_se0_ag2_f_01	215.0871	uh-	215.2596
214	LES_se0_ag2_f_01	215.2596	(pause 0.11)	215.3715
215	LES_se0_ag2_f_01	215.3715	social construct.	216.4393
216	LES_int_01	216.5372	Yeah.	216.8963
217	LES_se0_ag2_f_01	217.1201	It's	217.3999
218	LES_se0_ag2_f_01	217.3999	(pause 0.27)	217.6703
219	LES_se0_ag2_f_01	217.6703	like, African American, so Africa,	219.9367
220	LES_se0_ag2_f_01	219.9367	(pause 0.17)	220.1035
221	LES_se0_ag2_f_01	220.1035	Africa's a whole continent.	221.5106
222	LES_int_01	221.6862	Yeah.	222.0725
223	LES_se0_ag2_f_01	222.2613	Plethora of	222.8760
224	LES_se0_ag2_f_01	222.8760	(pause 0.64)	223.5169
225	LES_se0_ag2_f_01	223.5169	you know,	224.1371
226	LES_int_01	224.2732	[Right.]	224.6068
227	LES_se0_ag2_f_01	224.3214	[beliefs] and cultures and dialects.	226.6483
228	LES_se0_ag2_f_01	226.8371	And to-	227.7437
229	LES_se0_ag2_f_01	227.7437	(pause 0.87)	228.6129
230	LES_se0_ag2_f_01	228.6129	to-	228.9905
231	LES_se0_ag2_f_01	228.9905	(pause 0.13)	229.1222
232	LES_se0_ag2_f_01	229.1222	to just give it back to me in my- some measly name, like oh, well you know what?	232.6399
233	LES_int_01	232.8682	Yeah.	233.2633
234	LES_se0_ag2_f_01	233.2633	/Up/ in the past, you know, we've-	234.8263
235	LES_se0_ag2_f_01	235.1599	your predecessors were pulled from your country, and brought here and enslaved,	238.8494
236	LES_se0_ag2_f_01	238.8494	(pause 0.60)	239.4509
237	LES_se0_ag2_f_01	239.4509	and you know, we'll give you back Africa in their name. You know, like	242.4736
238	LES_se0_ag2_f_01	242.4736	(pause 0.17)	242.6404
239	LES_se0_ag2_f_01	242.6404	not- not specific, like	243.8373
240	LES_int_01	243.8373	[Right.]	244.5705
241	LES_se0_ag2_f_01	244.3158	[e-] I don't have any regions that I'm,	245.8497
242	LES_se0_ag2_f_01	246.0209	you know, [just Africa.]	246.9209
243	LES_int_01	246.4775	[Right, right.]	247.5674
244	LES_se0_ag2_f_01	247.2024	[Just]	247.6327
245	LES_se0_ag2_f_01	247.8686	African.	248.6775
246	LES_int_01	248.6775	Yeah.	249.0639
247	LES_se0_ag2_f_01	249.2088	[So.]	249.8443
248	LES_int_01	249.2088	[S- It seems] like uh, not enough.	251.3457
249	LES_int_01	251.6223	It's like.	252.0976
250	LES_se0_ag2_f_01	252.5190	Mm. I'd rather, I'd like to call everybody brown.	254.6527
251	LES_se0_ag2_f_01	254.6527	(pause 0.27)	254.9227
252	LES_se0_ag2_f_01	254.9227	[Or different shades] of brown.	256.1739
253	LES_int_01	254.9227	[<laugh>]	255.7173
254	LES_int_01	256.3100	I like [that.]	257.0432
255	LES_se0_ag2_f_01	256.8636	[I] think that we would [get to a better direction that way.]	259.4623
256	LES_int_01	258.1057	[That's- that's very] inclusive.	260.2168
257	LES_se0_ag2_f_01	260.2168	Hey man, everybody's brown. [Everybody's] got some different color	263.2170
258	LES_int_01	261.4258	[Yeah. (laughing)]	262.0712
259	LES_int_01	263.2170	Yeah.	263.6906
260	LES_se0_ag2_f_01	263.6906	but it's brown.	264.4018
261	LES_int_01	264.5171	[Tinted.]	265.2725
262	LES_se0_ag2_f_01	264.5656	[It's some brown] and, some white. [It's tinted.]	266.6335
263	LES_int_01	266.0671	[<laugh>]	267.2700
264	LES_se0_ag2_f_01	267.4413	You know.	267.9549
265	LES_se0_ag2_f_01	267.9549	(pause 0.33)	268.2831
266	LES_se0_ag2_f_01	268.2831	I'd like that way better.	269.6574
267	LES_int_01	269.7033	Yeah. [Yeah.]	270.3312
268	LES_se0_ag2_f_01	270.0414	[Because]	270.3882
269	LES_se0_ag2_f_01	270.6077	just-	271.0819
270	LES_se0_ag2_f_01	271.0819	(pause 0.86)	271.9424
271	LES_se0_ag2_f_01	271.9424	just	272.4648
272	LES_se0_ag2_f_01	272.4648	(pause 0.52)	272.9832
273	LES_se0_ag2_f_01	272.9832	/breries/ too [much.]	274.3510
274	LES_int_01	274.1479	[Yeah.] Yeah. [Right.]	275.1609
275	LES_se0_ag2_f_01	274.7805	[So, I'm just] saying just for like	276.0449
276	LES_int_01	276.5761	Yeah.	276.8263
277	LES_se0_ag2_f_01	276.9361	for the purpose of the interview, but	278.1610
278	LES_se0_ag2_f_01	278.1610	(pause 0.31)	278.4727
279	LES_se0_ag2_f_01	278.4727	man,	278.9117
280	LES_se0_ag2_f_01	278.9117	(pause 0.18)	279.0961
281	LES_se0_ag2_f_01	279.0961	I- I us- I usually say I'm brown.	280.6459
282	LES_se0_ag2_f_01	280.6459	(pause 0.31)	280.9532
283	LES_se0_ag2_f_01	280.9532	[I'm a] brown person, but	282.1941
284	LES_int_01	280.9532	[Okay.]	281.3293
285	LES_int_01	282.2688	That's [good.]	282.7429
286	LES_se0_ag2_f_01	282.6156	[I] did-	283.2259
287	LES_se0_ag2_f_01	283.6649	I don't	284.0820
288	LES_se0_ag2_f_01	284.0820	(pause 0.09)	284.1742
289	LES_se0_ag2_f_01	284.1742	like, I don't- most of my family's from the South.	286.1761
290	LES_se0_ag2_f_01	286.1761	(pause 0.40)	286.5741
291	LES_se0_ag2_f_01	286.5741	[Yeah.] And (laughing) then [uh.] 	287.7068
292	LES_int_01	286.5741	[Yeah.]	286.8441
293	LES_int_01	286.8441	(pause 0.64)	287.4829
294	LES_int_01	287.4829	[Do you] still have family down [there?]	288.8406
295	LES_se0_ag2_f_01	288.6288	[Yeah.]	288.8351
296	LES_se0_ag2_f_01	289.0942	Have family down [there in the South.]	290.5210
297	LES_int_01	289.6594	[Do you go like, visit?]	290.7745
298	LES_se0_ag2_f_01	291.0599	Yeah, we have family reunions.	292.5087
299	LES_int_01	293.0558	Oh, you do?	293.7480
300	LES_se0_ag2_f_01	293.7480	Mm-hm. [I just didn't make] the last one that we had.	295.9435
301	LES_int_01	294.0908	[That's fun.]	294.8942
302	LES_se0_ag2_f_01	296.3298	But, we have family reunions and	298.1562
303	LES_se0_ag2_f_01	298.1562	(pause 0.43)	298.5893
304	LES_se0_ag2_f_01	298.5893	every year, we go different	299.7132
305	LES_se0_ag2_f_01	299.7132	(pause 0.25)	299.9679
306	LES_se0_ag2_f_01	299.9679	places, but a lot of the family's from the South.	302.0006
307	LES_se0_ag2_f_01	302.0006	(pause 0.61)	302.6064
308	LES_se0_ag2_f_01	302.6064	And uh.	303.5372
309	LES_se0_ag2_f_01	303.5372	(pause 0.79)	304.3318
310	LES_se0_ag2_f_01	304.3318	Uh.	304.6815
311	LES_se0_ag2_f_01	304.6815	(pause 0.68)	305.3664
312	LES_se0_ag2_f_01	305.3664	My f-	305.6913
313	LES_se0_ag2_f_01	305.6913	(pause 0.12)	305.8142
314	LES_se0_ag2_f_01	305.8142	my father	306.6791
315	LES_se0_ag2_f_01	306.6791	(pause 0.47)	307.1523
316	LES_se0_ag2_f_01	307.1523	my /??/ my last name, a lot of people have my last name in Panama.	309.9059
317	LES_int_01	310.5937	Huh.	310.9405
318	LES_se0_ag2_f_01	311.2478	Yeah.	311.6298
319	LES_int_01	311.7571	That's [interesting.]	312.4376
320	LES_se0_ag2_f_01	312.2576	[Yeah,] I went there, and	313.5396
321	LES_se0_ag2_f_01	314.2684	a phonebook had my last name [when I-]	316.5630
322	LES_int_01	316.0684	[<laugh>] Did you call? Were you [like okay.<laugh>]	319.2674
323	LES_se0_ag2_f_01	317.9064	[I- I wanted to.]	319.0391
324	LES_se0_ag2_f_01	319.0391	(pause 0.22)	319.2546
325	LES_se0_ag2_f_01	319.2546	But, it was so weird because, um,	321.4058
326	LES_se0_ag2_f_01	321.8668	u- I- f- In America, I've never- I've never hea- rarely hear people with my last name, /RD-NAME-2/.	326.1308
327	LES_int_01	326.1308	I've never heard it before I [think.]	327.6279
328	LES_se0_ag2_f_01	327.1274	[/RD-NAME-2/].	327.6192
329	LES_se0_ag2_f_01	328.0231	And my father	329.0021
330	LES_se0_ag2_f_01	329.0021	(pause 0.18)	329.1821
331	LES_se0_ag2_f_01	329.1821	put	329.4352
332	LES_se0_ag2_f_01	329.4352	(pause 0.15)	329.5845
333	LES_se0_ag2_f_01	329.5845	two S's at the end.	330.5942
334	LES_se0_ag2_f_01	330.5942	(pause 0.10)	330.6952
335	LES_se0_ag2_f_01	330.6952	He put	331.1518
336	LES_se0_ag2_f_01	331.1518	(pause 0.13)	331.2835
337	LES_se0_ag2_f_01	331.2835	the other S at the end.	332.2055
338	LES_int_01	332.2055	Okay.	332.6621
339	LES_se0_ag2_f_01	332.9606	It's like /RD-NAME-9/.	335.3775
340	LES_int_01	335.3775	Okay. [Okay.]	336.4267
341	LES_se0_ag2_f_01	335.8736	[Double, double.]	336.3521
342	LES_int_01	336.7560	[Yeah.]	337.2082
343	LES_se0_ag2_f_01	336.9184	[And, um. Then.]	337.9395
344	LES_int_01	337.6234	[That is] rare I think.	338.7386
345	LES_se0_ag2_f_01	339.2435	Even if you try to Google my name,	340.7434
346	LES_se0_ag2_f_01	340.7434	(pause 0.36)	341.0990
347	LES_se0_ag2_f_01	341.0990	a lot of people who do have /RD-NAME-2/, they have one S.	343.7595
348	LES_int_01	344.4664	Yeah.	344.7595
349	LES_se0_ag2_f_01	344.7518	And then,	345.1996
350	LES_se0_ag2_f_01	345.6254	When I go to Panama,	346.9893
351	LES_int_01	347.0902	Yeah.	347.3712
352	LES_se0_ag2_f_01	347.6478	There's, uh, some that had two S's, it was weird. It was very crazy, but,	351.5991
353	LES_se0_ag2_f_01	351.5991	(pause 0.50)	352.0952
354	LES_se0_ag2_f_01	352.0952	it was cool. And the- it was cool to see that, and then	354.1571
355	LES_se0_ag2_f_01	354.1571	(pause 0.27)	354.4293
356	LES_se0_ag2_f_01	354.4293	just being there, I looked like the-	355.9000
357	LES_se0_ag2_f_01	355.9000	(pause 0.18)	356.0844
358	LES_se0_ag2_f_01	356.0844	like the people there, uh, nobody knew,	357.4674
359	LES_se0_ag2_f_01	357.4674	(pause 0.13)	357.5991
360	LES_se0_ag2_f_01	357.5991	people was asking me what island I was- I was from.	359.6346
361	LES_int_01	359.9447	[Oh, really?]	360.3530
362	LES_se0_ag2_f_01	360.1307	[And I'm] like	360.5698
363	LES_se0_ag2_f_01	360.8947	a really crazy small [island]	362.8483
364	LES_int_01	362.6026	[<laugh>]	362.8483
365	LES_se0_ag2_f_01	363.0722	far	363.6079
366	LES_se0_ag2_f_01	363.6079	(pause 0.21)	363.8186
367	LES_se0_ag2_f_01	363.8186	far [away.]	364.7270
368	LES_int_01	364.1927	[You're like,] well, [it's an island.]	366.1931
369	LES_se0_ag2_f_01	365.4004	[It's an island.]	366.2350
370	LES_se0_ag2_f_01	366.3749	It's far, and it's [crazy.]	367.8024
371	LES_int_01	367.4336	[It's a] little [different.]	368.6717
372	LES_se0_ag2_f_01	368.4961	[<laugh>]	368.8297
373	LES_se0_ag2_f_01	369.0054	It's crazy.	369.5761
374	LES_int_01	369.8615	<laugh>	370.5399
375	LES_se0_ag2_f_01	370.6693	But, they look like me.	371.6643
376	LES_se0_ag2_f_01	371.6643	(pause 0.22)	371.8882
377	LES_se0_ag2_f_01	371.8882	So, I lo- I feel like	372.8234
378	LES_se0_ag2_f_01	372.8234	(pause 0.18)	373.0078
379	LES_se0_ag2_f_01	373.0078	my father could be from Panama. I did ask him and he doesn't know much about his father, and I don't know much about him.	377.1692
380	LES_int_01	377.3696	Right. 	377.7648
381	LES_se0_ag2_f_01	377.7648	[So.]	378.0150
382	LES_int_01	378.0150	Right.	378.4804
383	LES_int_01	378.4804	(pause 0.39)	378.8667
384	LES_int_01	378.8667	So you grew up with your mom?	379.9555
385	LES_se0_ag2_f_01	380.2804	I grew with my mom. I grew up with her	382.1770
386	LES_se0_ag2_f_01	382.1770	(pause 0.14)	382.3175
387	LES_se0_ag2_f_01	382.3175	and	382.7434
388	LES_se0_ag2_f_01	382.7434	(pause 0.14)	382.8882
389	LES_se0_ag2_f_01	382.8882	she raised uh four of us.	384.0940
390	LES_int_01	384.2960	Oh, so you- okay, you have siblings.	385.3233
391	LES_se0_ag2_f_01	385.4945	I have siblings. I have [two] older brothers and a younger sister, she's twenty-eight. 	388.5677
392	LES_int_01	386.1970	[Yeah.]	386.4234
393	LES_int_01	389.0375	Cool.	389.3257
394	LES_se0_ag2_f_01	389.3257	And we	389.8833
395	LES_se0_ag2_f_01	390.0018	w- and my older brothers are thirty-two	392.0697
396	LES_se0_ag2_f_01	392.0697	(pause 0.43)	392.4955
397	LES_se0_ag2_f_01	392.4955	thirty-si-	393.2111
398	LES_se0_ag2_f_01	393.2111	(pause 0.60)	393.8143
399	LES_se0_ag2_f_01	393.8143	thirty-f- s- five and thirty six. Yeah.	396.0006
400	LES_int_01	395.8733	Okay.	396.2948
401	LES_int_01	397.3687	<laugh>	398.2380
402	LES_se0_ag2_f_01	398.2336	They're old, I tease them.	399.1907
403	LES_se0_ag2_f_01	399.4788	But um.	400.0364
404	LES_se0_ag2_f_01	400.0364	(pause 0.73)	400.7695
405	LES_se0_ag2_f_01	400.7695	It was four of us, and my father kind of left when I was three.	403.3247
406	LES_int_01	403.4871	Okay.	403.8120
407	LES_se0_ag2_f_01	404.3213	And he go ji- addicted to drugs.	406.2947
408	LES_int_01	406.2947	Oh.	406.7293
409	LES_se0_ag2_f_01	406.8654	Yeah. To uh,	408.1167
410	LES_se0_ag2_f_01	408.1167	(pause 1.24)	409.3567
